cancerType	nCases	nHighMutationBurdenCases	nHypermutatedCases	nTotal	signature	orderingVal	nHyperHigh	nCasesHyperHighType	frac
other	221	0	0	221	SMOKING	-1	0	193	0.0
other	221	0	0	221	other	-1	0	193	0.0
other	221	0	0	221	POLE	-1	0	193	0.0
other	221	0	1	221	MMR	-1	1	193	0.0051813471502590676
other	221	0	0	221	other	-1	0	193	0.0
other	221	0	0	221	MMR	-1	0	193	0.0
other	1314	0	2	1314	SMOKING	-1	2	193	0.010362694300518135
other	1314	0	1	1314	other	-1	1	193	0.0051813471502590676
other	1314	0	1	1314	POLE&MMR	-1	1	193	0.0051813471502590676
other	1314	0	0	1314	other	-1	0	193	0.0
other	1314	0	0	1314	other	-1	0	193	0.0
other	1314	0	2	1314	POLE	-1	2	193	0.010362694300518135
other	1314	0	0	1314	other	-1	0	193	0.0
other	1314	0	0	1314	other	-1	0	193	0.0
other	1314	0	0	1314	other	-1	0	193	0.0
Bladder_Cancer	1314	0	87	1314	APOBEC	87	87	111	0.7837837837837838
other	1314	0	9	1314	MMR	-1	9	193	0.046632124352331605
other	1314	0	0	1314	other	-1	0	193	0.0
other	1314	0	1	1314	other	-1	1	193	0.0051813471502590676
other	1314	0	0	1314	other	-1	0	193	0.0
other	1314	0	1	1314	other	-1	1	193	0.0051813471502590676
other	1314	0	0	1314	other	-1	0	193	0.0
other	1314	0	4	1314	UV	-1	4	193	0.02072538860103627
other	1314	0	1	1314	other	-1	1	193	0.0051813471502590676
Bladder_Cancer	1314	0	24	1314	MMR	24	24	111	0.21621621621621623
other	1314	0	1	1314	other	-1	1	193	0.0051813471502590676
other	320	0	1	320	MMR	-1	1	193	0.0051813471502590676
other	320	0	0	320	other	-1	0	193	0.0
other	320	0	0	320	APOBEC	-1	0	193	0.0
other	320	0	0	320	MMR	-1	0	193	0.0
other	5428	0	1	5428	SMOKING	-1	1	193	0.0051813471502590676
other	5428	0	0	5428	other	-1	0	193	0.0
other	5428	0	0	5428	other	-1	0	193	0.0
other	5428	0	1	5428	other	-1	1	193	0.0051813471502590676
other	5428	0	0	5428	other	-1	0	193	0.0
other	5428	0	2	5428	MMR	-1	2	193	0.010362694300518135
other	5428	0	5	5428	MMR	-1	5	193	0.025906735751295335
other	5428	0	0	5428	other	-1	0	193	0.0
other	5428	0	0	5428	other	-1	0	193	0.0
other	5428	0	0	5428	other	-1	0	193	0.0
other	5428	0	2	5428	UV	-1	2	193	0.010362694300518135
other	5428	0	0	5428	other	-1	0	193	0.0
Breast_Cancer	5428	0	76	5428	APOBEC	76	76	76	1.0
other	5428	0	0	5428	other	-1	0	193	0.0
other	1133	0	1	1133	other	-1	1	193	0.0051813471502590676
other	1133	0	1	1133	other	-1	1	193	0.0051813471502590676
other	1133	0	1	1133	POLE	-1	1	193	0.0051813471502590676
other	1133	0	3	1133	TMZ	-1	3	193	0.015544041450777202
other	1133	0	0	1133	other	-1	0	193	0.0
other	1133	0	1	1133	other	-1	1	193	0.0051813471502590676
other	1133	0	7	1133	MMR	-1	7	193	0.03626943005181347
other	1133	0	0	1133	other	-1	0	193	0.0
other	1133	0	0	1133	other	-1	0	193	0.0
other	1133	0	0	1133	other	-1	0	193	0.0
other	1133	0	0	1133	other	-1	0	193	0.0
other	235	0	2	235	MMR	-1	2	193	0.010362694300518135
other	235	0	0	235	other	-1	0	193	0.0
other	235	0	3	235	APOBEC	-1	3	193	0.015544041450777202
other	235	0	0	235	other	-1	0	193	0.0
other	235	0	0	235	MMR	-1	0	193	0.0
other	118	0	0	118	other	-1	0	193	0.0
other	3737	0	0	3737	SMOKING	-1	0	193	0.0
other	3737	0	0	3737	other	-1	0	193	0.0
other	3737	0	1	3737	POLE&MMR	-1	1	193	0.0051813471502590676
other	3737	0	0	3737	other	-1	0	193	0.0
